State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ROHTAS,ROHTAS,,2023-24,22,7300,67,7079,286,23,1481,5811,96,516,6288,584,2,2,7384,7383,6,7027,361,7364,24,7315,73,7386,2,3564,3824,7387,0
SAHARSA,SAHARSA,,2023-24,15,1497,2298,3027,750,32,19,3539,249,642,1632,1530,17,149,3646,3763,48,2315,1482,3673,123,2626,1172,3779,19,2048,1749,3262,524
SAMASTIPUR,SAMASTIPUR,,2023-24,1,95,8759,6923,1920,13,1252,7550,54,3237,5313,306,12,0,8842,8825,31,8748,108,8612,243,7867,988,8844,11,4323,4533,8814,40
SARAN,SARAN,,2023-24,0,41,11180,9417,1797,8,419,10789,14,1311,9470,438,101,2,11119,10879,343,9119,2100,11131,90,11102,118,11193,19,10258,964,11142,78
SHEIKHPURA,SHEIKHPURA,,2023-24,2,9,2646,2509,147,1,251,2401,5,357,2258,42,1,2,2653,2652,5,2577,80,2501,155,2496,161,2591,65,2614,42,2648,4
SHEOHAR,SHEOHAR,,2023-24,6,2608,770,3091,161,124,8,2982,385,591,2298,496,126,12,3248,3379,6,3052,322,2914,440,2913,442,3340,11,3283,88,2981,370
SITAMARHI,SITAMARHI,,2023-24,8,3945,4592,5782,2711,53,1704,6376,464,1563,4339,2631,201,136,8214,8503,45,8425,120,8450,90,8080,463,8509,28,7078,1469,8471,10
SIWAN,SIWAN,,2023-24,1,0,6222,4063,2067,94,1064,5107,53,3,1126,5094,56,0,6168,6219,6,5508,716,2584,3648,1573,4658,5686,546,2734,3498,3405,2818
SUPAUL,SUPAUL,,2023-24,4,2062,2081,3475,356,318,555,3102,492,1028,1568,1549,1,5,4144,3953,197,3887,264,3496,652,3705,446,3897,254,4083,65,3473,614
VAISHALI,VAISHALI,,2023-24,5,2,6421,4381,1942,104,59,6326,42,250,4348,1825,635,5,5785,6335,87,3958,2468,5789,636,6167,258,6422,1,5955,471,4915,1507
