State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
DHOLPUR,DHOLPUR,,2023-24,3,10,4527,4425,115,3,2110,2426,7,5,8,4530,15,1,4527,4543,0,4540,3,4103,440,3735,807,4510,33,1,1,4486,57
Didwana Kuchaman,Didwana Kuchaman,,2023-24,0,0,0,220,106,1,202,124,1,0,1,326,199,0,128,326,1,288,38,18,309,70,257,313,14,0,0,281,46
Dudu,Dudu,,2023-24,0,0,2,480,743,6,182,1039,12,25,362,846,17,1,1215,1230,3,1229,0,387,846,441,792,1223,9,0,0,1228,5
DUNGARPUR,DUNGARPUR,,2023-24,0,0,7,5987,1323,27,1183,6139,17,269,4215,2855,51,0,7287,7325,14,7335,2,5932,1407,5461,1851,7338,0,19,12,7330,9
GANGANAGAR,GANGANAGAR,,2023-24,0,0,4,5186,6291,15,11100,321,85,71,1,11435,10,53,11449,9523,1983,8596,2910,7447,4060,6778,4728,11245,262,4,0,11270,237
Gangapurcity,Gangapurcity,,2023-24,0,0,0,2201,1737,3,2406,1531,4,19,736,3186,2,0,3939,3912,29,3891,47,1761,2180,1032,2908,3804,135,3,0,3556,385
HANUMANGARH,HANUMANGARH,,2023-24,0,0,31,13685,3933,397,16197,1803,27,8,456,17553,1489,2,16536,16576,1452,16104,1854,14925,3103,10234,7794,16516,1511,11,3,16676,1352
JAIPUR,JAIPUR,,2023-24,0,0,2,3029,2841,264,1404,4502,266,13,95,6071,424,4,5748,5970,208,6095,36,2547,3634,2662,3509,6122,55,3,0,6106,75
Jaipur Gramin,Jaipur Gramin,,2023-24,0,0,1,2267,1394,221,418,3377,116,14,120,3776,118,0,3792,3830,71,3878,4,1584,2328,1801,2111,3877,35,2,0,3886,26
JAISALMER,JAISALMER,,2023-24,0,0,29,5825,172,3,1180,4807,11,5,4,5993,5587,2,413,5999,3,0,1,1,6000,32,5970,5591,411,5,2,5621,381
JALORE,JALORE,,2023-24,0,0,4,1557,171,0,316,1379,35,10,86,1634,461,0,1269,1705,24,0,1,31,1701,30,1694,1585,142,2,0,1368,363
JHALAWAR,JHALAWAR,,2023-24,0,0,0,5252,1068,17,6180,136,26,133,1279,4923,10,22,6292,6282,48,1198,5,4299,2047,4663,1680,6258,77,3,1,5708,638
JHUNJHUNU,JHUNJHUNU,,2023-24,0,0,9,8182,1376,7,3466,5698,402,18,138,9407,1936,1,7627,9470,96,9528,26,2577,6989,1797,7638,9554,12,45,108,9549,17
JODHPUR,JODHPUR,,2023-24,0,0,3,5940,2277,6,4659,3540,24,15,5,8205,6769,1,1454,8056,167,96,1,224,8001,126,8099,8189,35,0,0,8185,40
Jodhpur Gramin,Jodhpur Gramin,,2023-24,0,0,2,1270,568,0,942,886,10,5,0,1832,1417,0,420,1814,24,1,0,64,1774,32,1806,1829,9,1,0,1824,14
KARAULI,KARAULI,,2023-24,0,0,0,5785,170,3,5179,779,0,21,4459,1478,4,2,5952,5941,17,5650,308,3569,2389,2509,3449,5483,475,0,0,5658,300
Kekri,Kekri,,2023-24,0,0,1,779,511,55,568,709,68,68,79,1198,134,1,1210,1174,171,301,101,876,469,913,431,1297,46,2,0,1227,118
Khairthal-Tijara,Khairthal-Tijara,,2023-24,0,0,0,998,134,0,299,829,5,3,0,1129,47,1,1085,1133,0,0,1,96,1037,106,1027,1125,5,1,0,1130,3
KOTA,KOTA,,2023-24,0,1,0,2956,425,2,2600,777,6,260,1613,1510,192,1,3188,3203,179,3382,1,2249,1133,2481,901,3229,146,1,0,2982,401
Kotputli-Behror,Kotputli-Behror,,2023-24,0,0,1,962,473,13,361,1084,2,8,10,1430,55,3,1390,1319,129,559,40,688,760,289,1159,1435,12,0,1,1410,39
NAGAUR,NAGAUR,,2023-24,0,0,0,1906,751,0,1310,1339,8,6,4,2647,1362,1,1294,2584,73,1788,869,99,2558,757,1900,2631,26,0,0,1960,697
Neem Ka Thana,Neem Ka Thana,,2023-24,0,0,3,2128,296,1,1174,1157,93,4,37,2383,476,0,1947,2411,11,2406,14,992,1433,1117,1307,2424,0,5,0,2420,5
PALI,PALI,,2023-24,0,0,0,1319,1158,4,1445,1025,11,3,3,2475,660,4,1817,2325,156,2446,24,670,1811,1356,1125,2470,11,0,0,2476,5
Phalodi,Phalodi,,2023-24,0,0,0,947,272,2,739,481,1,1,1,1219,1048,0,173,1100,121,0,0,2,1219,1,1220,1218,1,0,0,1218,3
PRATAPGARH,PRATAPGARH,,2023-24,0,0,1,4202,630,2,2832,1964,38,166,1838,2828,1,0,4833,4524,309,1,0,2369,2465,2923,1911,4593,241,0,0,4264,570
RAJSAMAND,RAJSAMAND,,2023-24,0,0,14,5691,4173,26,8974,897,23,27,2128,7736,110,4,9781,8973,923,9866,15,9885,11,5124,4768,9879,5,16,1,9891,5
Salumbar,Salumbar,,2023-24,0,0,0,572,1269,72,297,1614,2,15,343,1555,105,0,1808,1835,78,1855,58,323,1589,1219,694,1836,77,0,0,1388,525
Sanchor,Sanchor,,2023-24,0,0,0,96,9,0,38,67,0,0,5,99,14,0,91,105,0,0,0,0,105,0,105,104,1,0,0,85,20
SAWAI MADHOPUR,SAWAI MADHOPUR,,2023-24,0,0,1,1745,2815,2,3567,995,0,20,40,4502,148,0,4414,2773,1789,1277,0,2570,1992,532,4030,4561,1,2,0,4243,319
Shahpura,Shahpura,,2023-24,0,0,0,1414,834,148,1926,429,41,738,610,1043,119,1,2271,2031,360,2347,50,1639,759,1688,710,2357,39,0,0,2346,52
SIKAR,SIKAR,,2023-24,0,0,9,7938,489,34,7376,1034,55,24,17,8405,417,5,7999,8435,13,8438,23,5895,2572,8424,31,8238,13,14,0,8455,13
SIROHI,SIROHI,,2023-24,0,0,14,3794,744,6,2487,2050,15,31,907,3608,1007,2,3536,4304,246,4053,390,408,4143,83,4459,4426,32,18,6,4474,79
TONK,TONK,,2023-24,0,0,1,5846,242,10,5176,840,83,55,1221,4822,329,0,5768,5986,112,3346,1,4266,1833,3802,2296,5908,189,1,0,5813,285
UDAIPUR,UDAIPUR,,2023-24,0,0,2,6019,8341,123,717,13781,6,58,1682,12764,2085,5,12415,14377,128,12004,2499,3884,10620,9432,4516,13361,1145,428,135,7165,7341
