State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
DEVBHUMI DWARKA,DEVBHUMI DWARKA,,2023-24,11,1018,1391,1694,680,46,706,1417,297,395,921,1104,79,0,2341,1678,742,1682,738,1775,645,1370,1050,2183,237,1725,692,2366,54
DOHAD,DOHAD,,2023-24,3,546,6351,6538,328,34,1836,4967,97,133,2960,3806,2,8,6890,2537,4363,3143,3757,3330,3570,2897,4003,6611,288,343,6557,6701,199
GANDHINAGAR,GANDHINAGAR,,2023-24,0,239,2641,2858,21,1,2242,622,16,747,1130,1003,19,0,2861,2706,174,2602,278,553,2327,1676,1204,2850,30,1030,1850,2844,36
GIR SOMNATH,GIR SOMNATH,,2023-24,4,694,2752,2854,479,117,2277,749,424,517,1490,1443,1,3,3446,3384,66,3194,256,2260,1190,2245,1205,2734,716,708,2742,732,2718
JAMNAGAR,JAMNAGAR,,2023-24,53,1749,2378,2919,1197,64,1661,2237,282,697,1672,1810,171,2,4007,3065,1115,3485,695,3454,726,2969,1211,4078,101,1994,2186,4177,3
JUNAGADH,JUNAGADH,,2023-24,3,949,4198,4176,823,151,2605,1954,591,1053,1729,2368,1,0,5149,4910,240,4580,570,2583,2567,1473,3677,3640,1510,364,4786,4898,252
KACHCHH,KACHCHH,,2023-24,123,1887,6724,6185,2117,432,6414,2136,184,1487,3139,4108,1170,3,7561,7400,1334,8315,419,6702,2032,2908,5825,7630,1103,6190,2544,7007,1727
KHEDA,KHEDA,,2023-24,9,1332,3849,4506,683,1,3340,1848,2,1286,1762,2142,320,0,4868,4733,457,3657,1533,4547,643,4270,919,5188,1,3662,1528,5168,22
MAHESANA,MAHESANA,,2023-24,5,566,5234,5386,345,84,4009,1520,288,2187,2642,959,369,6,5370,5693,80,4316,1507,180,5645,900,4914,3548,2272,5686,139,3150,2678
Mahisagar,Mahisagar,,2023-24,3,697,6192,5710,1036,146,4462,2396,34,114,3295,3483,2,6,6882,5314,1578,3523,3369,4698,2194,4426,2466,6571,320,23,6869,6345,547
MORBI,MORBI,,2023-24,0,1051,2405,3442,13,1,3324,131,1,586,1874,996,18,11,3427,3087,369,3076,380,3295,161,3054,402,3456,0,664,2792,3456,0
NARMADA,NARMADA,,2023-24,5,2528,2515,4843,204,1,3523,1524,1,4139,828,80,0,1,5046,5047,1,5047,1,2341,2707,2057,2991,5048,0,4,5044,5047,1
NAVSARI,NAVSARI,,2023-24,3,267,3490,3736,19,5,3676,74,10,119,1327,2314,0,0,3760,3752,8,3706,54,3386,374,3686,74,3760,0,3722,38,3757,3
PANCH MAHALS,PANCH MAHALS,,2023-24,7,2150,3834,3075,2898,18,2211,3302,478,2998,2123,870,129,0,5862,5707,284,3390,2601,5323,668,2891,3099,5967,22,848,5143,5547,444
PATAN,PATAN,,2023-24,3,340,4874,4640,465,113,4295,841,83,1540,2358,1315,504,2,4693,4620,585,3859,1357,690,4530,908,4310,4449,752,5123,98,2986,2233
PORBANDAR,PORBANDAR,,2023-24,2,159,1359,1100,314,106,1226,257,37,248,847,425,1,0,1519,1449,71,1443,77,956,564,763,757,1387,133,122,1398,869,651
RAJKOT,RAJKOT,,2023-24,134,2723,3333,6181,9,0,6139,46,5,2077,2643,1470,5,3,6182,5721,469,4211,1979,4382,1808,5158,1032,6064,126,1256,4934,5728,462
SABAR KANTHA,SABAR KANTHA,,2023-24,9,2,6989,6305,686,9,3103,3763,134,231,2959,3810,77,2,6921,6754,246,6122,878,6179,821,4779,2220,6750,247,846,6152,6891,109
SURAT,SURAT,,2023-24,0,2256,4046,5994,307,1,4783,1512,7,3912,1078,1312,77,0,6225,5994,308,5853,449,6265,37,3847,2455,6283,18,4765,1537,6298,4
SURENDRANAGAR,SURENDRANAGAR,,2023-24,1521,1939,2320,3671,2009,100,3854,1803,123,2144,2092,1543,8,1,5769,5096,683,5757,23,3924,1856,5696,84,4781,999,185,5595,5776,4
TAPI,TAPI,,2023-24,3,375,4118,3401,959,136,2469,1755,272,1446,1241,1809,16,2,4476,4494,2,4028,468,2953,1543,1575,2921,4144,350,2036,2460,4432,64
VADODARA,VADODARA,,2023-24,37,4042,2591,6670,0,0,6088,555,27,5780,708,182,32,1,6637,6085,585,5,6665,5372,1298,6333,337,6670,0,6547,123,6669,1
VALSAD,VALSAD,,2023-24,1,1981,2708,4438,250,2,1981,2595,114,1043,2158,1460,12,70,4600,4679,5,4136,554,4614,76,2720,1933,4503,184,3004,1681,4686,4
