State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
KHAIRGARH CHHUIKHADAN GANDAI,KHAIRGARH CHHUIKHADAN GANDAI,,2023-24,1,37,2962,114,826,2060,1789,909,302,871,813,1315,7,60,2933,2982,17,1046,1953,2234,752,2193,801,2905,93,2185,815,2656,343
KONDAGAON,KONDAGAON,,2023-24,17,1044,3947,365,2804,1839,1448,3058,502,46,1806,3156,8,133,4867,4991,16,3813,1195,2018,2989,710,4297,2309,2656,3224,1784,4437,571
KORBA,KORBA,,2023-24,11,430,5581,11,2486,14,3231,2778,14,963,1809,3252,9,48,5965,6020,3,474,2033,6018,6,544,5480,6016,8,2505,2,6014,10
KOREA,KOREA,,2023-24,1,308,2152,119,2149,193,675,1305,481,214,823,1423,3,635,1823,2450,10,1145,1316,2455,6,2184,277,2393,68,2461,0,2461,0
MAHASAMUND,MAHASAMUND,,2023-24,8,97,5840,18,5830,97,3158,2780,7,188,2939,2818,11,117,5815,5934,11,5626,319,5764,181,4246,1699,5939,1,5924,20,5929,16
MANENDRAGARH CHIRIMIRI BHARATPUR,MANENDRAGARH CHIRIMIRI BHARATPUR,,2023-24,2,149,2402,63,2311,176,810,1560,183,139,399,2015,6,519,2027,2544,9,1260,1292,2549,4,2447,106,2429,123,2509,44,2549,4
MOHLA MANPUR AMBAGARH CHOUKI,MOHLA MANPUR AMBAGARH CHOUKI,,2023-24,0,244,2756,523,1773,704,1704,1175,121,1349,455,1196,8,47,2945,2978,19,1553,1444,1926,1074,2277,723,2686,300,2370,627,2731,268
MUNGELI,MUNGELI,,2023-24,47,1320,2433,27,2347,1426,2558,1198,44,27,604,3168,88,1,3711,3789,11,2942,858,3073,727,3220,579,3636,162,3794,6,3778,22
NARAYANPUR,NARAYANPUR,,2023-24,4,130,1866,9,1358,633,141,1786,73,11,903,1086,4,193,1801,1990,9,12,1988,612,1388,351,1647,1103,892,754,1246,1732,268
RAIGARH,RAIGARH,,2023-24,11,5951,3244,508,6397,2300,231,8605,369,792,3809,4603,164,261,8773,9172,30,5735,3471,9073,133,6994,2212,9187,17,9202,4,9110,96
RAIPUR,RAIPUR,,2023-24,28,925,5046,407,4397,1195,1165,4471,363,309,4773,917,8,20,5968,5988,11,5972,26,5984,14,5820,179,5996,3,5941,58,5998,1
RAJNANDGAON,RAJNANDGAON,,2023-24,0,82,2918,95,782,2123,794,1909,297,482,901,1617,20,388,2588,2965,35,1047,1953,2068,932,1393,1607,2913,84,1394,1605,2942,58
SAKTI,SAKTI,,2023-24,6,313,3695,677,2279,1058,1007,2540,467,2063,951,999,92,431,3491,3996,8,10,4004,3478,413,1678,2209,3722,169,1198,2811,3834,58
SARANGARH BILAIGARH,SARANGARH BILAIGARH,,2023-24,6,382,2614,255,2609,138,1649,1229,124,90,1108,1804,9,90,2900,2998,4,2971,31,2779,223,1088,1913,2953,40,1139,1863,2975,27
SUKMA,SUKMA,,2023-24,5,160,2839,81,2472,451,224,2577,203,3,513,2488,2,137,2865,2996,8,8,2996,2951,52,721,2283,2963,37,591,2413,2917,87
SURAJPUR,SURAJPUR,,2023-24,6,22,5984,1,3767,2244,415,5591,6,10,2302,3700,1,29,5982,6009,3,6009,3,6011,1,5769,242,6011,1,6011,1,6011,1
SURGUJA,SURGUJA,,2023-24,7,8,6987,18,6970,14,271,6628,103,55,5402,1545,3,1663,5333,6989,13,6992,10,6955,47,5080,1921,6987,13,6719,282,6981,21
