State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
GONDIA,GONDIA,,2023-24,1,2147,2126,223,4030,20,515,3749,10,325,1900,2047,19,4,4249,4266,6,1367,2907,4249,25,1829,2443,2904,1366,1947,2326,4100,173
HINGOLI,HINGOLI,,2023-24,9,2212,1379,39,2858,703,2746,830,24,30,1168,2402,1,0,3599,3600,0,1375,2225,2559,1041,2048,1552,3562,38,2136,1464,3541,59
JALGAON,JALGAON,,2023-24,4,139,8148,72,7958,261,7442,820,30,765,2114,5407,172,1,8106,8181,102,3566,4728,1786,6507,3599,4693,8284,0,7840,454,8260,33
JALNA,JALNA,,2023-24,0,5,5866,598,4908,365,5045,825,1,12,739,5120,44,0,5826,5866,4,3285,2586,32,5839,4364,1506,5868,3,2323,3546,5863,8
KOLHAPUR,KOLHAPUR,,2023-24,622,3213,4805,7881,536,222,4569,3330,741,5964,1801,875,3,121,8516,8545,95,8386,254,3855,4785,2605,6033,8521,119,7593,1047,8584,56
LATUR,LATUR,,2023-24,6,117,6528,10,3599,3044,6642,4,9,10,1028,5609,20,3,6620,6610,35,16,6640,5242,1415,3706,2950,6656,0,24,6633,6647,10
NAGPUR,NAGPUR,,2023-24,96,1299,6796,2560,4776,856,6746,1155,292,313,1388,6485,63,2,8124,8183,6,326,7867,1311,6882,4724,3464,8131,54,6189,2001,7535,658
NANDED,NANDED,,2023-24,5,3,7063,1026,3578,2467,6989,8,74,103,3501,3466,13,16,7038,7062,9,2768,4304,5196,1876,6310,762,7070,2,5760,1312,7050,22
NANDURBAR,NANDURBAR,,2023-24,3,3365,4009,1488,5879,10,748,6541,87,285,3301,3790,56,1,7318,7365,11,6257,1120,4807,2570,3206,4170,7372,4,5118,2259,7283,94
NASHIK,NASHIK,,2023-24,103,4313,13187,3283,13184,1139,10871,6537,202,2960,5997,8641,415,41,17145,17235,367,10038,7571,8921,8689,8779,8824,17578,24,9610,7994,17337,273
PALGHAR,PALGHAR,,2023-24,150,554,2655,1837,791,732,922,1300,1138,2444,506,410,14,12,3334,3354,3,2244,1115,3291,69,2988,372,3359,1,42,3316,3360,0
PARBHANI,PARBHANI,,2023-24,8,87,6417,11,4801,1699,6488,5,18,65,42,6404,125,2,6383,6489,22,890,5621,3195,3312,1816,4694,6502,4,4377,2134,6442,67
PUNE,PUNE,,2023-24,78,3668,5614,1506,6105,1749,3723,4955,682,559,1867,6933,205,2,9153,9306,33,2884,6472,2086,7266,2573,6781,8094,1263,4903,4445,4988,4368
RAIGAD,RAIGAD,,2023-24,3863,2220,125,1637,2659,2011,5401,853,54,4570,1188,548,5,35,6274,6271,32,5360,948,5088,300,4906,483,5286,50,364,5892,5379,12
RATNAGIRI,RATNAGIRI,,2023-24,772,1341,1787,136,1631,2129,2308,957,631,3767,73,56,2,70,3823,3863,32,3827,69,3193,703,2890,1006,3889,7,2962,934,3865,31
SANGLI,SANGLI,,2023-24,3,518,6614,2328,4231,576,4820,2062,253,2695,2523,1916,530,6,6599,6821,314,3972,3163,4121,3014,4692,2443,7093,42,6107,1028,6625,510
SATARA,SATARA,,2023-24,8,1700,10958,6650,3947,2076,9789,2523,361,77,288,12307,88,36,12549,12350,288,431,12242,5573,7100,7473,5199,12535,135,26,12643,11521,1152
SINDHUDURG,SINDHUDURG,,2023-24,13,966,2870,150,2199,1501,3331,447,73,2975,716,156,4,821,3015,3793,52,2819,1034,3589,265,3046,804,3798,52,280,3573,3784,70
SOLAPUR,SOLAPUR,,2023-24,12,79,7827,502,5986,1430,4421,3033,464,833,1828,5256,231,5,7682,7782,136,3394,4524,414,7503,2379,5534,7312,595,1285,6632,2785,5133
THANE,THANE,,2023-24,62,1126,1008,1404,591,205,931,881,388,1549,326,324,0,9,2191,2197,3,1801,399,2167,33,2054,146,2196,4,21,2179,2198,2
WARDHA,WARDHA,,2023-24,0,289,3178,874,1142,1450,2941,474,52,49,630,2783,53,2,3413,3466,1,1480,1986,666,2801,1387,2074,3405,41,2200,1266,3029,438
WASHIM,WASHIM,,2023-24,17,187,5114,572,2714,2032,4148,992,179,3339,1338,641,360,6,4951,5301,17,102,5217,1194,4125,4484,835,5318,1,5303,16,5209,110
YAVATMAL,YAVATMAL,,2023-24,3,219,4767,4232,746,14,4566,410,18,24,1295,3667,21,16,4941,4957,25,28,4966,1740,3253,978,4009,4767,171,1396,3589,4852,143
