State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
DAVANGERE,DAVANGERE,,2023-24,495,8461,494,6863,2426,161,7459,1967,24,1996,3556,3897,14,104,9332,9447,3,9430,20,3877,5572,5577,3873,9141,308,6497,2951,7937,1513
DHARWAD,DHARWAD,,2023-24,5,6333,26,1105,5230,29,4467,1843,54,1198,5119,47,932,35,5397,6362,2,5136,1228,1993,4371,1393,4971,6354,10,4341,2023,6303,61
GADAG,GADAG,,2023-24,0,5881,22,108,5782,13,8,5872,23,7,538,5357,1,0,5902,0,5903,5900,3,5902,1,5900,3,5903,0,5902,1,5902,1
HASSAN,HASSAN,,2023-24,2234,4249,124,6054,547,6,2486,3811,310,3738,2585,284,3,776,5828,6540,67,5951,656,339,6268,1072,5535,4485,2122,6018,589,1869,4738
HAVERI,HAVERI,,2023-24,24,468,7684,21,8153,2,146,8000,30,98,1404,6674,2,94,8080,8078,97,8022,154,35,8141,649,7527,8128,47,1243,6933,3455,4721
KALABURAGI,KALABURAGI,,2023-24,1,3217,6643,9649,211,1,9846,2,13,2150,6980,731,2,2,9857,9853,8,9846,15,16,9845,992,8869,9861,0,8892,969,9837,24
KODAGU,KODAGU,,2023-24,349,2596,327,1611,1350,311,1126,1736,410,1405,1533,334,0,199,3073,3272,0,2980,292,3203,69,2856,416,3269,3,3266,6,2542,730
KOLAR,KOLAR,,2023-24,0,708,6745,6350,1025,78,1543,4298,1612,14,200,7239,0,1059,6394,7387,66,5732,1721,7320,133,5990,1463,7213,240,6270,1183,7423,30
KOPPAL,KOPPAL,,2023-24,2789,2628,6547,10635,1021,308,6284,4977,703,5088,1709,5167,218,193,11553,11349,615,3596,8368,9640,2324,2720,9244,11809,155,5254,6710,11862,102
MANDYA,MANDYA,,2023-24,6,682,6252,4098,2221,621,2519,3281,1140,2075,2342,2523,67,567,6306,6936,4,6304,636,5356,1584,4076,2864,6718,222,1813,5127,6814,126
MYSURU,MYSURU,,2023-24,0,0,5993,4717,1160,116,1763,3568,662,1065,2287,2641,0,852,5141,5976,17,5962,31,4732,1261,3400,2593,5805,188,3297,2696,5762,231
RAICHUR,RAICHUR,,2023-24,6,3,10159,261,9610,297,16,9852,300,2,214,9950,66,7,10095,4,10164,9840,328,329,9839,87,10069,10133,33,82,9886,10114,54
RAMANAGARA,RAMANAGARA,,2023-24,1256,2685,1010,2797,1690,464,320,1030,3601,627,1807,2517,6,317,4628,4891,60,4417,534,4054,897,1270,3681,4744,206,736,4215,4564,387
SHIVAMOGGA,SHIVAMOGGA,,2023-24,700,1410,3303,2653,1428,1335,2453,2345,622,2660,1219,1535,11,448,4961,5307,113,3387,2027,4748,670,2477,2941,5197,198,3861,1557,4774,645
TUMAKURU,TUMAKURU,,2023-24,4,899,7200,5673,2363,67,1485,5552,1066,155,1091,6857,17,68,8018,7571,532,4144,3959,3772,4331,1937,6165,7676,427,2766,5336,7928,175
UDUPI,UDUPI,,2023-24,174,1144,1912,2153,485,592,868,1649,713,1889,473,868,1,2307,922,3225,5,1597,1633,2903,327,1962,1268,2661,569,975,2255,2216,1014
UTTARA KANNADA,UTTARA KANNADA,,2023-24,0,334,4727,3290,832,939,777,1057,3227,4624,314,123,2,2452,2607,4913,148,4136,925,4892,169,4540,521,3822,1239,632,4429,4632,429
VIJAYANAGAR,VIJAYANAGAR,,2023-24,1529,2098,184,1558,1798,455,594,1542,1675,3320,419,72,254,352,3205,3803,8,1563,2248,2472,1339,2002,1809,3785,25,721,3089,3634,177
VIJAYAPURA,VIJAYAPURA,,2023-24,16,116,9877,8699,1255,55,7647,2106,256,37,132,9840,380,8,9621,9799,210,46,9963,760,9249,3430,6577,9364,645,6343,3666,7780,2227
YADGIR,YADGIR,,2023-24,4,1437,8257,4077,5166,455,7438,2235,25,1271,7303,1124,1285,22,8389,9500,196,9316,382,7196,2502,8794,904,9676,22,3561,6137,9533,164
